path,category,size_bytes,sha256,status,note
.gitattributes,infrastructure,144,9e091f82897a50dcd84777d8ae1cd80265344ee12c857ea67a3d1b419f67055c,OBSERVED,
.github/PULL_REQUEST_TEMPLATE.md,documentation,740,2bdeeba192e499a7cb421578983638e087ffea9388fd602c73ea75600c4cbaaf,OBSERVED,
.github/workflows/ci.yml,infrastructure,822,06a812ecee722618a82dd44a61ca3b566d3d9df90a7f661c187eb48573fd56fe,OBSERVED,
.gitignore,infrastructure,488,28cf7e7592d28f2f3d09251a0c13a2429687fcb3ac7abc69c9aa772e8dcaa295,OBSERVED,
CONTRIBUTING.md,documentation,3071,f406cb54a4e875aa4530cd5209e7b149b6f279f9e5669f20aed19c8522aba682,OBSERVED,
Nghiên Cứu Kỹ Thuật QPAF.docx,infrastructure,3391156,3330a2fe962be879705e4b25477eabc6f375acfddc2eb31351893d5236831e63,OBSERVED,
POAI_Milestone_Group01_Hoan_Chinh.xlsx,documentation,375391,896bf26657a58f4d921c4b51b0428931a8770ccea3248201f1ce148714383bdc,OBSERVED,
README.md,documentation,16514,1f5ddd259bd53ab96cd717d290c9bc3101b449fadc876a48833c1e443a6d0501,OBSERVED,
TIMELINE_fixed.md,documentation,34494,4498e32cd260db9f8101a23194b92f7db264cc821b25d4b7efe9b94c6168f362,OBSERVED,
configs/README.md,documentation,366,70750fccc96e6236cfe646592dacd5849049de2f25c34b7e793b2360182eea9d,OBSERVED,
data/README.md,documentation,789,768d359f6bac5cc769084fb0919c849db2ed9b6435673d31eeb5ac3b130191b0,OBSERVED,
docs/DE_XUAT_NGHIEN_CUU_QPAF.md,documentation,22171,cc49feaef50dac35e846c20a2ce004ddc62a424e3a20070335e299cebe713c63,OBSERVED,
docs/Tom_tat_dinh_huong_QPAF.md,documentation,5580,a98a6f7e0454657dd8a93dbcfd0caee44e9491f1dc99c3d0c63fda17e67e3484,OBSERVED,
docs/implementation-notes.md,documentation,3315,49c4137e99bdd0f20c8859bc9104ac38b23be4a65765ce1600e12ff34531a71a,OBSERVED,
docs/khuong-m1-checklist.md,documentation,3360,ebbfa3cac4bb4ca1fc1945a38cdf3789e6ba82b8d96230d624574f54f32b6044,OBSERVED,
docs/m1-restart-handoff.md,documentation,5850,c93eed4f169545c35708deabf0d5dde3c478806fcec542e6020ca934063cff00,OBSERVED,
docs/overview.md,documentation,8992,8e3f2f2349c6b2387a3b417fefe5df4609caf9fabf8dc135969dd5196e42055b,OBSERVED,
docs/superpowers/plans/2026-09-25-m1-repository.md,documentation,4461,194a2db6ea3bbc5b2d064e40815d03b1748c4b462bbde13161955e85f0534f85,OBSERVED,
docs/superpowers/specs/2026-09-25-m1-repository-design.md,documentation,3632,504262d3e06bb845b92cf48c8f5dbaa9cdb3d751fdeace764d58dbca9e572d53,OBSERVED,
manifests/README.md,documentation,456,168fb540e3ea97ec9e5444e2c23c254b712d4b892c42a9ba7d0536e2779a1ced,OBSERVED,
pyproject.toml,infrastructure,450,413c17d497981be04b484df9990f89ae46fd5931e07a199e1de09853a1dfe464,OBSERVED,
results/README.md,documentation,872,b21e91fd8864b533b5f8f739107996a03d94b013e54f803627ddcfff466b4b2b,OBSERVED,
results/m1.1/README.md,documentation,2835,56a7624fc2f4848d1d5a592cf533e7171ab3faab2bafcc09c6882abb0f9e0639,OBSERVED,
results/m1.1/reference/oracle-progress-report.docx,run,16953,95edab2591da69f62e9d92b9307f8a4e2a1356abf6d9713722b604ea9a2b9c39,PROVENANCE_UNVERIFIED,Observed output; run/config/commit/data links require review
results/m1.1/reference/source_manifest.csv,run,316,3c28fc733de3f876dac504f5bb60844d10073744b4405e30ba054ae3066a1f56,PROVENANCE_UNVERIFIED,Observed output; run/config/commit/data links require review
scripts/audit_repository.py,infrastructure,404,3d5be4fa6db221900c7ac085cbe0099ab10563de653120103db90564ef8a2aaa,OBSERVED,
src/qpaf/__init__.py,infrastructure,62,3c676f0b96ef73c4f9eb29a27d8bcc3464303483653f2ae28c7f4e739fe9d542,OBSERVED,
src/qpaf/audit.py,infrastructure,11950,16a6b7c83215aa667ca26ce2045323255fcf09aa67dc1925e0b86bea7c0818a5,OBSERVED,
tests/test_audit.py,infrastructure,10023,1fe43835422704340d2f188f9023af0313e3ea2ec7660ff414086f28be0be65b,OBSERVED,
